State,Id,24_Pres,20_Pres,20-24_Pres,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct
CO,5,-0.06687325,-0.07683535,-0.07019395,0.69728532,0.30271468,0.07410767,0.15534264,0.00715742,0.04189927,0.03668179
CO,6,0.04445055,0.0564149,0.0484386666666667,0.75832113,0.24167887,0.0418194,0.10044252,0.00317581,0.0760653,0.02349291
CO,7,0.19901579,0.19031896,0.196116846666667,0.76498476,0.23501524,0.01893944,0.13813405,0.00242511,0.04913707,0.0300259
CO,8,0.16361862,0.25839885,0.19521203,0.45801264,0.54198736,0.10478288,0.35679587,0.00483562,0.06033699,0.04062809
CT,1,0.3188057,0.37084873,0.336153376666667,0.55661611,0.44338389,0.18593845,0.18368157,0.00156985,0.07296846,0.01455523
CT,2,0.08066097,0.11702917,0.0927837033333333,0.81067488,0.18932512,0.04949698,0.076383,0.00186704,0.04175577,0.02069784
CT,3,0.11222775,0.16886968,0.131108393333333,0.65938219,0.34061781,0.13598764,0.14489446,0.00126995,0.05387163,0.01479149
CT,4,0.26078688,0.34219379,0.287922516666667,0.57372595,0.42627405,0.14695464,0.20820406,0.00137467,0.06149264,0.01256121
CT,5,-0.01744761,0.02937864,-0.00183886,0.72834968,0.27165032,0.07502851,0.14101956,0.00139319,0.03312107,0.01508626
DE,AL,0.14619157,0.18980774,0.160730293333333,0.62437671,0.37562329,0.22762886,0.08666531,0.001349,0.04834195,0.01994402
FL,1,-0.36902327,-0.32273371,-0.353593416666667,0.71997717,0.28002283,0.13724982,0.06679952,0.0037943,0.04229988,0.03178636
FL,2,0.08662328,0.15736299,0.110203183333333,0.59128576,0.40871424,0.25974393,0.08665734,0.00154682,0.04752581,0.01734111
FL,3,-0.45466616,-0.4043189,-0.43788374,0.74156804,0.25843196,0.12872413,0.08437031,0.00188531,0.01921532,0.02553295
FL,4,-0.33173179,-0.30013883,-0.321200803333333,0.76113914,0.23886086,0.08960291,0.07991561,0.0026078,0.04587216,0.02078548
FL,5,0.07628236,0.13047398,0.0943462333333333,0.46992048,0.53007952,0.35172022,0.10693848,0.00285216,0.06069977,0.01899882
FL,6,-0.30697686,-0.24422644,-0.286060053333333,0.73326531,0.26673469,0.093231,0.13217434,0.00172703,0.02070208,0.02165871
FL,7,0.0286547,0.09717959,0.05149633,0.55781113,0.44218887,0.12416929,0.24273349,0.00239083,0.06869712,0.01855934
FL,8,-0.21370122,-0.16011171,-0.19583805,0.75048392,0.24951608,0.10735183,0.08660065,0.00213083,0.0332749,0.02093372
FL,9,0.04397502,0.19133333,0.0930944566666667,0.30199106,0.69800894,0.12761085,0.52325717,0.00313462,0.05461774,0.0191168
FL,10,0.14090808,0.22709022,0.16963546,0.4029962,0.5970038,0.28605084,0.23018455,0.0026514,0.05961325,0.01690036
FL,11,-0.32717305,-0.28418614,-0.31284408,0.77008432,0.22991568,0.07858793,0.10858445,0.00151178,0.02242064,0.01892657
FL,12,-0.24666948,-0.198348,-0.23056232,0.76955128,0.23044872,0.05474199,0.12512502,0.00166316,0.03085069,0.01967191
FL,13,-0.01655796,0.04020954,0.00236454,0.72485317,0.27514683,0.11465593,0.09651032,0.00183611,0.04386035,0.01839648
FL,14,0.08545113,0.20976786,0.12689004,0.42526785,0.57473215,0.23281795,0.29202476,0.00240025,0.05126955,0.01803093
FL,15,-0.11937948,-0.04558691,-0.0947819566666667,0.55389499,0.44610501,0.12108404,0.25204741,0.00198898,0.0636457,0.01959054
FL,16,-0.19254819,-0.11893497,-0.16801045,0.78451184,0.21548816,0.05861161,0.11424615,0.00112505,0.02447286,0.0146871
FL,17,-0.31598997,-0.21485071,-0.282276883333333,0.68797841,0.31202159,0.09101919,0.18633404,0.00123667,0.01840969,0.0166943
FL,18,-0.24823125,-0.19308231,-0.22984827,0.60852946,0.39147054,0.133018,0.22248279,0.00169755,0.02373086,0.02112575
FL,19,-0.32490814,-0.24920887,-0.29967505,0.71397929,0.28602071,0.05241636,0.20106862,0.00106707,0.01953781,0.01314154
FL,20,-0.1970345,-0.13491543,-0.176328143333333,0.69738334,0.30261666,0.12208756,0.1424043,0.00153819,0.02153936,0.01662192
FL,21,0.0108384,0.14146974,0.05438218,0.4534699,0.5465301,0.22769914,0.27993673,0.00188874,0.03497641,0.01781923
FL,22,0.03107706,0.14822783,0.0701273166666667,0.64392941,0.35607059,0.13294168,0.15594447,0.00128812,0.04247628,0.00917488
FL,23,0.29979941,0.40719378,0.335597533333333,0.34688239,0.65311761,0.3950282,0.21126613,0.00188633,0.03113014,0.01125034
FL,24,0.03041365,0.16217775,0.0743350166666667,0.43134985,0.56865015,0.13603783,0.36880518,0.00176615,0.05829282,0.01260182
FL,25,0.38070862,0.55581463,0.43907729,0.09357731,0.90642269,0.50414504,0.39661845,0.00151832,0.02944018,0.0096155
FL,26,-0.01901514,0.14335423,0.0351079833333333,0.27548594,0.72451406,0.08989653,0.60400414,0.00101412,0.02987356,0.00979014
FL,27,-0.39483429,-0.22805129,-0.339239956666667,0.05737905,0.94262095,0.03597869,0.90690379,0.00068378,0.01516601,0.00588931
FL,28,-0.23909679,-0.04597117,-0.174721583333333,0.16275103,0.83724897,0.10917951,0.71675645,0.00098848,0.02292522,0.0118585
GA,1,-0.11019678,-0.08020663,-0.100200063333333,0.58640905,0.41359095,0.30020116,0.0660615,0.00302585,0.03109015,0.01974745
GA,2,0.08889215,0.10885688,0.09554706,0.43167619,0.56832381,0.4852552,0.05066403,0.00232214,0.02311605,0.01517288
GA,3,-0.34470819,-0.33707041,-0.342162263333333,0.68246591,0.31753409,0.22812076,0.04772341,0.00102452,0.02195769,0.02012915
GA,4,0.61732218,0.63972273,0.62478903,0.25828271,0.74171729,0.57731238,0.09969496,0.00129023,0.06329497,0.01705331
GA,5,0.69940744,0.71121624,0.703343706666667,0.3277,0.6723,0.56381485,0.05831077,0.00130608,0.04719459,0.01290599
GA,6,0.00970609,0.02517864,0.0148636066666667,0.60526808,0.39473192,0.12460938,0.09285489,0.00126139,0.16091976,0.01440995
GA,7,0.11858433,0.14543362,0.127534093333333,0.353272,0.646728,0.24712046,0.22853649,0.00162881,0.16730343,0.02171807
GA,8,-0.43965182,-0.39544216,-0.424915266666667,0.63054909,0.36945091,0.27583525,0.06888431,0.00122809,0.0115067,0.01673763
GA,9,-0.45167589,-0.45244082,-0.451930866666667,0.74504776,0.25495224,0.06964829,0.12863893,0.00110956,0.03185615,0.02576214
GA,10,-0.41699999,-0.39722959,-0.410409856666667,0.76000461,0.23999539,0.12426643,0.06524359,0.00112164,0.02712961,0.0219604
GA,11,0.22086519,0.20898,0.21690346,0.44911561,0.55088439,0.35615187,0.13199774,0.00148806,0.04777991,0.02069427
GA,12,-0.06636746,-0.03702807,-0.0565876633333333,0.52210334,0.47789666,0.38850878,0.04613013,0.00237491,0.03055693,0.01699917
GA,13,0.4212697,0.3838833,0.408807566666667,0.27608558,0.72391442,0.592055,0.08916576,0.0014817,0.03870929,0.01770017
GA,14,-0.48542252,-0.48850828,-0.486451106666667,0.76592167,0.23407833,0.09689109,0.0988933,0.0010131,0.01303149,0.02826062
HI,1,0.21385683,0.29419292,0.240635526666667,0.31815095,0.68184905,0.02401282,0.09569419,0.28379491,0.4325984,0.03034013
