id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"18","18","769194","-3.278e-05","0.35754826","0.63176222","0.68439835","0.31560165","0.09189817","0.18338425","0.00152115","0.02427878","0.01713503","621242","-0.27421396",#960018,"0.5"
"19","19","768533","-0.00089209","0.36308423","0.62551647","0.69460954","0.30539046","0.07629837","0.19471741","0.00108178","0.02144177","0.01355821","639686","-0.26243224",#960018,"0.5"
"20","20","768690","-0.00068799","0.52947381","0.45763149","0.51656854","0.48343146","0.24185561","0.19843978","0.00158691","0.03383808","0.01442371","621962","0.07184232",#8282ff,"0.5"
"21","21","769828","0.00079143","0.40395161","0.5832968","0.70635747","0.29364253","0.12125668","0.12359574","0.0018226","0.03041249","0.01781537","633161","-0.17934519",#ff2020,"0.5"
"22","22","769458","0.00031043","0.5335472","0.45415422","0.5076453","0.4923547","0.15739084","0.26970224","0.00161745","0.04640444","0.01180084","612075","0.07939298",#7878ff,"0.5"
"23","23","768642","-0.00075039","0.61325132","0.37562336","0.3973101","0.6026899","0.35257415","0.20626271","0.00174026","0.02683678","0.0115496","626342","0.23762796",#00008b,"0.5"
"24","24","768650","-0.00073999","0.63966722","0.34967428","0.12728435","0.87271565","0.45100251","0.41886635","0.00129174","0.02128389","0.00870102","603837","0.28999294",#00008b,"0.5"
"25","25","769557","0.00043913","0.53563083","0.45098369","0.3315771","0.6684229","0.18807251","0.41751002","0.00190355","0.06472571","0.0123168","604134","0.08464714",#7171ff,"0.5"
"26","26","770100","0.00114504","0.30290156","0.68827858","0.17240622","0.82759378","0.04492793","0.78077469","0.00073308","0.01369783","0.00835299","632947","-0.38537702",#960018,"0.5"
"27","27","768937","-0.00036688","0.5021092","0.48500794","0.22218676","0.77781324","0.14398641","0.61061215","0.00115626","0.02985583","0.01225631","614051","0.01710126",#c8c8ff,"0.5"
"28","28","768591","-0.00081669","0.34149854","0.64921288","0.16398266","0.83601734","0.04885186","0.77190967","0.00083559","0.02273497","0.00849673","631890","-0.30771434",#960018,"0.5"
"1","1","765915","0.00101775","0.54965567","0.44431315","0.48779154","0.51220846","0.4009657","0.06504785","0.00324145","0.03384171","0.01823696","594178","0.10534252",#2020ff,"0.5"
"2","2","764912","-0.00029313","0.55884364","0.43656662","0.42140561","0.57859439","0.4940539","0.05205508","0.00236282","0.02347885","0.01526838","589126","0.12227702",#2020ff,"0.5"
"3","3","765780","0.00084131","0.55177322","0.44256051","0.39542225","0.60457775","0.48710999","0.0732444","0.00116132","0.03600622","0.01761284","580372","0.10921271",#2020ff,"0.5"
"4","4","765049","-0.00011408","0.55024879","0.44404375","0.44208363","0.55791637","0.47586327","0.05068056","0.00128037","0.02312353","0.01562225","585767","0.10620504",#2020ff,"0.5"
"5","5","765209","9.503e-05","0.54564239","0.44539152","0.50118301","0.49881699","0.31119378","0.12555727","0.0014271","0.04525206","0.02122104","587907","0.10025087",#2020ff,"0.5"
