id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"33","33","760663","0.00078533","0.54473569","0.4259221","0.18134347","0.81865653","0.1149922","0.61037444","0.00572353","0.0897163","0.03941627","552107","0.11881359",#2020ff,"0.5"
"34","34","759403","-0.00087242","0.74257074","0.21117368","0.1780579","0.8219421","0.06749161","0.51641953","0.00354892","0.23698238","0.04085161","627515","0.53139706",#00008b,"0.5"
"35","35","760423","0.00046957","0.51067455","0.45970647","0.2336729","0.7663271","0.07517226","0.51975921","0.00533762","0.16705987","0.03576951","587903","0.05096808",#9b9bff,"0.5"
"36","36","759444","-0.00081848","0.65501921","0.31284304","0.57939305","0.42060695","0.0448163","0.14122355","0.00564318","0.21819301","0.01703716","631913","0.34217617",#00008b,"0.5"
"37","37","760417","0.00046168","0.79673028","0.17107527","0.18866469","0.81133531","0.23557783","0.47372198","0.003632","0.10011995","0.03608742","597743","0.62565501",#00008b,"0.5"
"38","38","760629","0.0007406","0.59591674","0.37256401","0.14541386","0.85458614","0.02939541","0.7199688","0.00405887","0.1027466","0.04327761","589820","0.22335273",#00008b,"0.5"
"39","39","759592","-0.00062376","0.53798094","0.43173532","0.21809415","0.78190585","0.10377052","0.594183","0.00655928","0.07648876","0.03915134","562867","0.10624562",#2020ff,"0.5"
"40","40","760855","0.00103794","0.47061523","0.49607109","0.56015753","0.43984247","0.02303249","0.20199132","0.00532943","0.19925738","0.02105918","599501","-0.02545586",#ffbcbc,"0.5"
"41","41","759807","-0.00034089","0.4488348","0.52203055","0.38640405","0.61359595","0.07446688","0.41338697","0.0071872","0.11160106","0.03503043","574215","-0.07319575",#ff7f7f,"0.5"
"42","42","759566","-0.00065796","0.63347891","0.33219742","0.23954368","0.76045632","0.07925988","0.56172676","0.0076959","0.11265326","0.03889816","592393","0.30128149",#00008b,"0.5"
"43","43","760171","0.00013802","0.65534323","0.31197209","0.11089844","0.88910156","0.10665544","0.66586304","0.01098577","0.11255624","0.04125505","573651","0.34337114",#00008b,"0.5"
"44","44","760301","0.00030906","0.75209082","0.21792553","0.05782188","0.94217812","0.31732002","0.53557719","0.0086642","0.08922328","0.03470396","572586","0.53416529",#00008b,"0.5"
"45","45","760233","0.00021959","0.4934624","0.47683702","0.27866892","0.72133108","0.02929153","0.27056427","0.00810135","0.41209894","0.02267684","604714","0.01662538",#c8c8ff,"0.5"
"46","46","760059","-9.34e-06","0.57507665","0.3942972","0.1727339","0.8272661","0.02577293","0.61843801","0.00645878","0.17695223","0.04368615","578902","0.18077945",#2020ff,"0.5"
"47","47","760308","0.00031827","0.50297968","0.46246478","0.53343617","0.46656383","0.02421189","0.15944722","0.00598209","0.26666623","0.01790089","617176","0.0405149",#a9a9ff,"0.5"
"48","48","759815","-0.00033036","0.3880422","0.58793025","0.58830187","0.41169813","0.04947313","0.2395264","0.00948334","0.09392252","0.03931524","579648","-0.19988805",#960018,"0.5"
"49","49","760114","6.303e-05","0.52707629","0.44466213","0.57006793","0.42993207","0.03563637","0.28329843","0.01006276","0.09018088","0.03047336","596357","0.08241416",#7373ff,"0.5"
"50","50","760450","0.00050509","0.59532068","0.37250694","0.55238329","0.44761671","0.03613832","0.18963816","0.00696777","0.20436818","0.01976504","607942","0.22281374",#00008b,"0.5"
"51","51","759527","-0.00070928","0.66465292","0.30232889","0.49280685","0.50719315","0.07787972","0.24238825","0.00937922","0.17235033","0.02621668","620521","0.36232403",#00008b,"0.5"
"52","52","760751","0.00090111","0.58039585","0.39406408","0.17222363","0.82777637","0.09256267","0.56487251","0.01159743","0.17219954","0.0326707","581163","0.18633177",#2020ff,"0.5"
"1","1","721689","-3.499e-05","0.76745686","0.20460447","0.58791082","0.41208918","0.09704478","0.24424493","0.00358642","0.05219916","0.03341135","586657","0.56285239",#00008b,"0.5"
"2","2","721072","-0.0008899","0.68276248","0.28857468","0.78657968","0.21342032","0.01619734","0.12369672","0.00248284","0.04608871","0.02348376","586022","0.3941878",#00008b,"0.5"
"3","3","721807","0.00012851","0.43879986","0.53611505","0.70164356","0.29835644","0.01487227","0.22727305","0.00257631","0.01433415","0.04850855","568642","-0.09731519",#ff6060,"0.5"
"4","4","722069","0.00049154","0.35134212","0.62360616","0.72969143","0.27030857","0.02224892","0.19250656","0.00284916","0.02586204","0.03230033","541914","-0.27226404",#960018,"0.5"
